time,open,high,low,close,tick_volume,spread,real_volume
2024-01-25 06:00:00,2015.51,2015.957,2014.737,2015.085,748,199,0
2024-01-25 06:15:00,2015.043,2015.551,2014.506,2015.306,798,199,0
2024-01-25 06:30:00,2015.311,2016.562,2015.035,2015.542,785,200,0
2024-01-25 06:45:00,2015.589,2016.062,2014.884,2015.744,807,200,0
2024-01-25 07:00:00,2015.742,2015.742,2013.551,2015.07,1013,199,0
2024-01-25 07:15:00,2015.012,2016.842,2014.9,2016.406,1038,200,0
2024-01-25 07:30:00,2016.435,2018.218,2016.074,2016.404,1181,199,0
2024-01-25 07:45:00,2016.41,2016.862,2015.679,2015.811,947,199,0
2024-01-25 08:00:00,2015.763,2015.977,2014.299,2014.4,1048,199,0
2024-01-25 08:15:00,2014.407,2014.688,2012.602,2013.422,1211,199,0
2024-01-25 08:30:00,2013.385,2015.393,2012.877,2014.613,1237,199,0
2024-01-25 08:45:00,2014.649,2014.719,2013.504,2013.837,1073,199,0
2024-01-25 09:00:00,2013.829,2014.793,2012.773,2013.469,940,200,0
2024-01-25 09:15:00,2013.528,2014.551,2012.992,2014.467,930,199,0
2024-01-25 09:30:00,2014.432,2016.966,2014.297,2016.63,1081,200,0
2024-01-25 09:45:00,2016.584,2017.873,2016.43,2017.812,1020,200,0
2024-01-25 10:00:00,2017.806,2019.346,2017.582,2019.07,1053,199,0
2024-01-25 10:15:00,2019.073,2019.186,2017.424,2018.005,908,200,0
2024-01-25 10:30:00,2018.04,2018.333,2017.129,2017.785,920,200,0
2024-01-25 10:45:00,2017.784,2019.47,2017.747,2019.106,881,200,0
2024-01-25 11:00:00,2019.153,2019.491,2017.945,2018.152,899,199,0
2024-01-25 11:15:00,2018.15,2019.001,2017.763,2018.521,796,200,0
2024-01-25 11:30:00,2018.516,2018.791,2016.515,2017.191,1270,200,0
2024-01-25 11:45:00,2017.191,2017.958,2016.9,2017.449,783,199,0
2024-01-25 12:00:00,2017.45,2017.63,2016.047,2016.056,1040,200,0
2024-01-25 12:15:00,2016.069,2016.256,2014.024,2014.486,970,199,0
2024-01-25 12:30:00,2014.461,2016.099,2013.575,2015.202,965,200,0
2024-01-25 12:45:00,2015.166,2015.38,2013.306,2013.658,1117,200,0
2024-01-25 13:00:00,2013.608,2015.991,2013.356,2015.109,1116,200,0
2024-01-25 13:15:00,2015.161,2017.562,2014.931,2016.561,1666,199,0
2024-01-25 13:30:00,2016.412,2022.979,2009.392,2019.072,4050,199,0
2024-01-25 13:45:00,2019.111,2021.008,2016.627,2019.258,2931,199,0
2024-01-25 14:00:00,2019.293,2024.574,2018.335,2022.764,2676,199,0
2024-01-25 14:15:00,2022.808,2023.366,2020.411,2022.17,2181,199,0
2024-01-25 14:30:00,2022.204,2024.114,2019.42,2023.282,2691,199,0
2024-01-25 14:45:00,2023.326,2025.23,2021.568,2023.605,2290,199,0
2024-01-25 15:00:00,2023.574,2024.686,2021.631,2022.552,2196,199,0
2024-01-25 15:15:00,2022.509,2023.003,2019.324,2019.796,2183,199,0
2024-01-25 15:30:00,2019.84,2020.636,2016.765,2020.338,1969,199,0
2024-01-25 15:45:00,2020.389,2020.966,2018.926,2020.279,1490,200,0
2024-01-25 16:00:00,2020.285,2021.607,2019.066,2019.764,1448,200,0
2024-01-25 16:15:00,2019.805,2019.901,2015.866,2016.209,1329,199,0
2024-01-25 16:30:00,2016.221,2016.746,2014.358,2014.395,1319,199,0
2024-01-25 16:45:00,2014.354,2015.207,2013.738,2014.556,1261,200,0
2024-01-25 17:00:00,2014.604,2015.203,2012.408,2015.109,1250,199,0
2024-01-25 17:15:00,2015.111,2016.487,2014.556,2015.551,1203,199,0
2024-01-25 17:30:00,2015.533,2015.601,2013.132,2013.758,1081,199,0
2024-01-25 17:45:00,2013.765,2015.209,2013.431,2014.863,1070,199,0
2024-01-25 18:00:00,2014.885,2016.555,2014.64,2015.367,1359,199,0
2024-01-25 18:15:00,2015.382,2018.601,2014.745,2017.485,1321,199,0
2024-01-25 18:30:00,2017.541,2017.934,2015.171,2015.374,1054,199,0
2024-01-25 18:45:00,2015.357,2015.856,2014.002,2014.258,962,199,0
2024-01-25 19:00:00,2014.21,2015.392,2013.376,2014.918,993,199,0
2024-01-25 19:15:00,2014.927,2017.932,2014.927,2017.783,906,200,0
2024-01-25 19:30:00,2017.786,2017.986,2017.252,2017.351,852,199,0
2024-01-25 19:45:00,2017.302,2018.367,2017.26,2017.7,805,199,0
2024-01-25 20:00:00,2017.734,2018.53,2017.235,2017.594,880,199,0
2024-01-25 20:15:00,2017.608,2017.833,2016.869,2017.547,803,199,0
2024-01-25 20:30:00,2017.565,2017.886,2017.282,2017.517,702,200,0
2024-01-25 20:45:00,2017.531,2020.24,2017.28,2020.024,847,199,0
2024-01-25 21:00:00,2019.977,2019.977,2018.893,2019.304,606,200,0
